Coffee_Consumption_kg,Coffee_Type_Americano,Coffee_Type_Cappuccino,Coffee_Type_Espresso,Coffee_Type_Latte,Coffee_Type_Mocha,Year_diff,log_population,standardized_price,price_population_interaction,americano_ratio,yearly_trend
9.25393898058043,1,0,0,0,0,0,4.188585653755145,-0.950239422395274,426.3957996463326,1.0,0.0
9.981202707003789,0,0,0,0,1,12,4.412273068472754,-1.6232142396418243,358.418083630113,0.0,0.0
3.3129155167663225,0,0,0,1,0,3,4.708979255471176,-0.2203556476958225,972.6560354188013,0.0,0.0
2.436180471026238,0,0,1,0,0,18,3.764385898178337,0.7257000678510792,506.8082629306869,0.0,0.0
4.637848857169699,0,0,0,0,1,4,4.181809842840036,-0.1468601064760328,589.299331151562,0.0,0.0
5.693273446091323,0,0,0,1,0,19,4.780120138898306,-0.1276096639063,1079.186643405989,0.0,0.0
3.638569976606836,0,0,0,1,0,1,4.930587991035561,0.6048289533578328,1574.0035219446345,0.0,0.0
4.411399294388468,0,0,0,0,1,15,4.896399382334178,-0.8452574801046804,909.6578720514502,0.0,0.0
3.6069658855332616,0,0,0,1,0,8,4.278983042070323,0.8913608062604543,885.5460820839262,0.0,0.0
8.19408454745961,0,0,0,0,1,2,4.364486244443501,-1.1987773816387424,446.83313839542296,0.0,0.0
7.700623545978086,0,0,0,1,0,10,4.379983434770242,-0.3518082410473446,666.8965367284377,0.0,0.0
7.079612126087854,0,0,0,1,0,2,4.870902770417547,0.5566682329953291,1463.0111948813485,0.0,-0.1360093876157615
5.097742856633638,0,0,0,1,0,16,4.837479495379612,1.1583255133865584,1654.099188371957,0.0,0.0
9.272327530513888,0,0,0,0,1,4,3.859009216116728,1.0297359516720204,602.5374297963175,0.0,0.999273330388872
9.75626033228016,0,0,0,1,0,5,3.229404353834925,0.7859275418305894,301.6225223726969,0.0,0.0
3.389114501003296,1,0,0,0,0,10,4.051214518397176,-0.4797565143011243,456.8677774276382,1.0,-0.5598908996436559
3.784101131295024,1,0,0,0,0,17,3.783565600708232,-1.3063225871226132,235.0485651999805,1.0,0.0
6.205048224002957,1,0,0,0,0,19,4.96050853306102,-0.9763486556744764,910.9496698366636,1.0,0.0898911290240223
2.7300045542579623,1,0,0,0,0,6,3.704295913389279,1.2856126009794224,548.9244531379611,1.0,0.0
5.491587190584903,1,0,0,0,0,22,3.332197209338317,1.2594239447769366,376.0553164723109,1.0,0.0
